precision,recall,threshold
0.8978607972114465,0.9999843461381923,8.588235123063725e-10
0.8978734170098528,0.9999843461381923,8.987114941128027e-10
0.8978860371630168,0.9999843461381923,9.157433145112748e-10
0.8978986576709537,0.9999843461381923,9.248268817430016e-10
0.8979112785336781,0.9999843461381923,9.57195434025948e-10
0.8979238997512053,0.9999843461381923,9.614825602355381e-10
0.8979365213235501,0.9999843461381923,9.66024815696187e-10
0.8979491432507274,0.9999843461381923,1.0555953888768954e-09
0.8979617655327523,0.9999843461381923,1.0723311127947e-09
0.8979743881696397,0.9999843461381923,1.0867504673939266e-09
0.8979870111614046,0.9999843461381923,1.0895336854943594e-09
0.8979996345080619,0.9999843461381923,1.0996571431221014e-09
0.8979982006297795,0.9999686922763846,1.1118092002604385e-09
0.8980108244886483,0.9999686922763846,1.1473096916958525e-09
0.8980234487024489,0.9999686922763846,1.1637557584265323e-09
0.8980360732711962,0.9999686922763846,1.2056496911938552e-09
0.8980486981949053,0.9999686922763846,1.2074815591844867e-09
0.898061323473591,0.9999686922763846,1.2191451181919888e-09
0.898059890341628,0.9999530384145768,1.2289226303252576e-09
0.8980725161326604,0.9999530384145768,1.2297620699541767e-09
0.8980851422787088,0.9999530384145768,1.276612926481846e-09
0.8980977687797883,0.9999530384145768,1.3080539984500206e-09
0.8981103956359138,0.9999530384145768,1.3231221673848381e-09
0.8981230228471002,0.9999530384145768,1.387625458981745e-09
0.8981356504133626,0.9999530384145768,1.4880233711878077e-09
0.8981482783347159,0.9999530384145768,1.4891762267765785e-09
0.8981609066111752,0.9999530384145768,1.489590895076276e-09
0.8981735352427553,0.9999530384145768,1.51204471166011e-09
0.8981861642294713,0.9999530384145768,1.514368075383743e-09
0.8981987935713381,0.9999530384145768,1.5300578581900481e-09
0.8982114232683709,0.9999530384145768,1.5302592526467151e-09
0.8982240533205844,0.9999530384145768,1.5507327644215252e-09
0.8982366837279937,0.9999530384145768,1.581831110541998e-09
0.8982493144906138,0.9999530384145768,1.6109913403283826e-09
0.8982619456084596,0.9999530384145768,1.6119687806792626e-09
0.8982745770815462,0.9999530384145768,1.6231836985625137e-09
0.8982872089098887,0.9999530384145768,1.6495409482786272e-09
0.8982998410935017,0.9999530384145768,1.65729252543656e-09
0.8983124736324005,0.9999530384145768,1.658854942299115e-09
0.8983251065266,0.9999530384145768,1.6600861796334243e-09
0.8983377397761152,0.9999530384145768,1.6737766728169845e-09
0.8983503733809611,0.9999530384145768,1.678725936038461e-09
0.8983630073411526,0.9999530384145768,1.6918859646608553e-09
0.8983756416567049,0.9999530384145768,1.7146983832816431e-09
0.8983882763276327,0.9999530384145768,1.790453785233126e-09
0.8984009113539513,0.9999530384145768,1.7934786988860196e-09
0.8984135467356755,0.9999530384145768,1.9237291759566233e-09
0.8984261824728204,0.9999530384145768,1.959274520402232e-09
0.8984388185654009,0.9999530384145768,1.986764308625766e-09
0.8984514550134319,0.9999530384145768,2.03427497069697e-09
0.8984640918169288,0.9999530384145768,2.0385824139879105e-09
0.8984767289759061,0.9999530384145768,2.085815964392168e-09
0.8984893664903792,0.9999530384145768,2.1094732627346957e-09
0.8985020043603629,0.9999530384145768,2.110346564165866e-09
0.8985146425858722,0.9999530384145768,2.1727353249900716e-09
0.8985272811669222,0.9999530384145768,2.252733555252462e-09
0.8985399201035278,0.9999530384145768,2.3132398219161132e-09
0.8985525593957041,0.9999530384145768,2.3464969967079696e-09
0.898565199043466,0.9999530384145768,2.5076094534171034e-09
0.8985778390468286,0.9999530384145768,2.5254311974975963e-09
0.8985904794058069,0.9999530384145768,2.530807563516646e-09
0.8986031201204159,0.9999530384145768,2.5986437446334776e-09
0.8986157611906704,0.9999530384145768,2.628027351292417e-09
0.8986284026165858,0.9999530384145768,2.72184919047902e-09
0.8986410443981768,0.9999530384145768,2.757749362203299e-09
0.8986536865354585,0.9999530384145768,2.7670119528977466e-09
0.898666329028446,0.9999530384145768,2.7788649159532497e-09
0.8986789718771543,0.9999530384145768,2.7882460784667273e-09
0.8986916150815982,0.9999530384145768,2.7959412562950092e-09
0.8987042586417929,0.9999530384145768,2.809299903816509e-09
0.8987169025577535,0.9999530384145768,2.8119162553963406e-09
0.8987295468294948,0.9999530384145768,2.838038026808931e-09
0.8987421914570319,0.9999530384145768,2.884077643372507e-09
0.8987548364403799,0.9999530384145768,2.9360402997724577e-09
0.8987674817795537,0.9999530384145768,2.9384998878612123e-09
0.8987801274745684,0.9999530384145768,2.9541222801299227e-09
0.898792773525439,0.9999530384145768,2.9897657682909085e-09
0.8988054199321805,0.9999530384145768,3.0544957674294437e-09
0.8988180666948079,0.9999530384145768,3.117646807382357e-09
0.8988307138133363,0.9999530384145768,3.127133663127779e-09
0.8988433612877808,0.9999530384145768,3.219231992090954e-09
0.8988560091181561,0.9999530384145768,3.2533298277570566e-09
0.8988545858779163,0.9999373845527691,3.296391160034773e-09
0.898867234222191,0.9999373845527691,3.3156550838242538e-09
0.8988798829224361,0.9999373845527691,3.338901821692275e-09
0.8988925319786668,0.9999373845527691,3.3953655442786612e-09
0.898905181390898,0.9999373845527691,3.410930426994696e-09
0.8989178311591449,0.9999373845527691,3.4632707812676244e-09
0.8989304812834225,0.9999373845527691,3.472252707581447e-09
0.8989431317637456,0.9999373845527691,3.5131357822848486e-09
0.8989557826001294,0.9999373845527691,3.517594437951743e-09
0.8989684337925891,0.9999373845527691,3.5192051495158694e-09
0.8989810853411394,0.9999373845527691,3.5698823896979093e-09
0.8989937372457956,0.9999373845527691,3.621869471004402e-09
